Temp_Imbalance,Pressure_Imbalance,Gas_Utilization,TOTAL_K,K_LM,K_MU,cluster,Channeling_Flag
5.909261264197596,0.011037398758479977,0.45777871824867394,2.45997051132866,1.9846324135377593,3.49061152590644,0,0
8.352842067355596,0.009035098019120058,0.47767101649817345,2.1296536597115,2.369821180964204,2.27436390659623,0,0
12.777500000000003,0.006769999999999943,0.47165003015741774,2.733565,4.507924628514178,0.9167841562770438,0,0
3.6750737185503937,0.010022572285119935,0.4708311155820594,2.54183291316922,2.965528096360102,2.6280955958819905,0,0
6.530900000000003,0.00546000000000002,0.4867597051899494,2.2593,2.9784289476119565,1.2928709527422235,0,0
3.6749338336353077,0.010216658394740064,0.4752393949921792,2.686107788920407,3.339360411707062,2.6913348941151725,0,0
13.340695691724605,0.00950412327618011,0.4491745341375168,2.3438164311599,3.0971690780267784,2.064335818035111,0,0
22.83921090100111,0.024811762147609828,0.4205284260227536,1.9221879199110123,1.4126025382656457,3.8172493822725464,0,0
12.129321273103187,0.00976484473569994,0.48993342950608043,2.35366691599536,1.9782540566262836,2.363777692254244,0,0
14.341687956940206,0.007834616968240171,0.44958071289720836,2.11321063633986,1.992511193552188,3.609013237879355,0,0
5.1409508784298055,0.009119676041709823,0.46504619447671863,2.364163926331,2.4442015316247896,3.0190754077548125,0,0
7.6077510850820005,0.009291179646049974,0.492895175652037,2.27061188634987,2.464255970812196,2.1597282744438937,0,0
13.73107690703489,0.008008457662640023,0.4651897030097142,2.30456082961004,2.534006352162493,2.971787999096078,0,0
12.228544277907694,0.00834083820404996,0.46165366992548157,2.59935397180712,2.5605163611719863,2.7006476691338563,0,0
3.5049999999999955,0.005880000000000107,0.4844573286827705,2.09215,3.757581661479777,1.6509480277636703,0,0
10.058599999999998,0.07244000000000006,0.4864137853353264,2.23773,2.3206828076592374,2.0126078118991377,0,0
9.152000000000015,0.008259999999999934,0.4826125978184698,1.94884,3.9712875373889642,1.8574489313658562,0,0
5.295999999999992,0.016530000000000156,0.47226632670800256,2.26035,4.127943188547857,1.552876820929541,0,0
2.9405,0.07254000000000005,0.4807321809539495,2.15658,2.8881612262179837,1.427918662976342,0,0
6.5589999999999975,0.006080000000000085,0.4901322886823852,2.08702,2.4438672603417437,1.8977153318672748,0,0
6.459922714971896,0.008249922849939972,0.4657125367382186,2.15521788532313,2.3160957118311885,2.2654831092186742,0,0
11.860000000000014,0.009560000000000013,0.47449065352214753,2.33896,2.508946525339968,2.126652557114693,0,0
14.262699999999995,0.006900000000000128,0.4829780567650205,2.14289,2.4028746604009106,1.8847153172041338,0,0
4.956079925650556,0.021406542750929347,0.47976705432657624,2.228757063197026,2.554238823763663,1.4653994594852355,0,0
9.502733018114,0.006787701118806666,0.48822987637960397,2.1936659536494405,2.0388186911188235,2.0119342330518597,0,0
6.5154,0.007549999999999946,0.4842834432813928,2.14421,2.858443302149552,1.2499613020962044,0,0
2.7365000000000066,0.010314999999999852,0.47669643337194695,2.239065,2.2783060052253927,2.3187748265502908,0,0
5.624000000000009,0.017020000000000035,0.42987507907002015,1.97243,4.02277530072918,1.4234607231842917,0,0
52.23999999999998,0.008550000000000058,0.39700460268368115,4.437425714285714,2.8466138563351144,3.0835481756609133,-1,1
7.552096063123301,0.009730810450079952,0.4799544558840061,2.17130990551434,2.323019814678146,2.102428652830637,0,0
5.106517705585404,0.008971206425619993,0.48515468774888254,2.72463318764619,3.0959750227747094,2.3585020742885283,0,0
5.314799298451703,0.0329431674094498,0.47220084675455604,2.44894915285199,2.4403005092534285,3.239753438546605,0,0
13.462999999999994,0.016630000000000145,0.48955452098730134,2.34259,3.3601361736722435,1.6682430642626307,0,0
5.990453850096003,0.009832916376290024,0.4890557520918045,2.36679423795751,2.2250986978057443,2.5886962517393464,0,0
4.068775028231798,0.009126735759270144,0.47949019399323,2.19418801192167,2.3387896018824,2.5086781695960845,0,0
7.0244,0.010923333333333396,0.4962066923283604,2.4968166666666667,2.258607693832692,1.7917911619888083,0,0
6.704999999999998,0.009009999999999962,0.47514103876809416,2.28876,3.3333902231931427,1.8202300421718092,0,0
11.302999999999997,0.007410000000000139,0.4684619708321833,2.31918,3.457320255173222,2.0700853193412554,0,0
3.5649999999999977,0.009300000000000086,0.49025591371324284,2.14599,3.4899296648340967,1.5156118726609469,0,0
4.51657755759399,0.008633432834949994,0.4820821908892172,2.05640976156112,2.5329517616220443,2.607061056716321,0,0
4.705597191156599,0.010661942137650149,0.47873615031888517,2.59291688309,2.9073380941887,2.344340340265145,0,0
2.786376397486009,0.00834149212953994,0.45813879081970443,2.33792685290261,2.5305256917353973,3.0876221574843266,0,0
2.0350230585183056,0.00925464537729992,0.4681006616114437,2.5455362267827315,2.948908637850281,3.2226147815413317,0,0
1.1331477690722949,0.010228244030350053,0.4520801663363044,2.33332891187147,2.4498874709631977,3.1019895785434857,0,0
8.690999999999988,0.019569999999999865,0.4452576248585118,2.04693,5.560379156355776,1.4027730673316707,0,0
11.600999999999999,0.006929999999999881,0.49572852766713693,2.27104,2.558216279303903,1.4793866895412306,0,0
3.7543999999999897,0.007519999999999971,0.48416396523104666,2.22124,2.657415727988966,1.7775139976090935,0,0
11.457999999999998,0.004210000000000047,0.4338184141096376,1.90164,3.3784979174248857,2.3374312501107677,0,0
7.317257134953394,0.010020384775830005,0.47365844439821575,2.08107847785876,2.144430517615624,2.557619604288107,0,0
6.019076339936603,0.008430717386220143,0.4778928923042884,2.17192161374746,2.2542299169300772,2.443426420159679,0,0
8.342903091473602,0.012265230673339955,0.47015185246472063,2.42039442837312,2.418651342024821,2.7642440071125716,0,0
9.997200000000007,0.00831000000000004,0.4799424349262076,2.23974,2.5692979610709172,2.248967187808584,0,0
10.859000000000009,0.01831000000000005,0.44278432646797444,2.04183,5.578124999999999,1.0777997036050817,0,0
7.708868685234705,0.008770021898899971,0.4783874099780864,2.26684640593081,2.7117597844599346,1.9380491409120393,0,0
7.238386881423395,0.010919388834159882,0.4846954675125229,2.23177909638263,2.448797039951317,2.058949734022086,0,0
3.7278040533606003,0.007747231656429987,0.4571923940491841,2.33702134790572,2.475033721545535,3.017250892188588,0,0
8.556230525303093,0.00961766488911997,0.46738649590683307,2.09064681349518,1.9999517470043857,2.5432615297947385,0,0
2.008700481422082,0.008861459793272575,0.4603919650134896,2.264232232130619,2.382192347274853,2.96072792562832,0,0
5.181737769048397,0.008863547736019939,0.46395038942967043,2.10408349136592,2.1306261541464377,2.6852053251075425,0,0
5.971800000000002,0.009190000000000031,0.4918180624760991,2.33149,1.8765265987589013,2.6568594367085088,0,0
19.024478241535007,0.009824070173700017,0.4763622801072038,2.4159049958845,2.048171531217527,1.9595580974785167,0,0
4.5939740345041,0.008114348671349969,0.4542382087359527,2.12607540063306,2.7692883346912143,2.571894940311027,0,0
4.396155294371695,0.007172809165269856,0.46864021206593004,2.07842533119951,2.0044583755303513,2.6639444351315453,0,0
3.9376924529906034,0.010036030224390036,0.48676913627121954,2.59476318652126,2.8735641945912094,2.73609581916451,0,0
8.2996531015323,0.008367947748090021,0.4768047201287073,2.55324291145036,2.651595421356168,3.236286517010594,0,0
6.393145836033199,0.008341511919209843,0.4753974920909762,2.2468471861147,2.563302884959593,2.514873303544027,0,0
10.71456990001549,0.011961950805679855,0.48163404359879425,2.56561077137218,2.8059792580626652,2.887812461127425,0,0
13.512500000000003,0.0070749999999999424,0.5014044612520605,2.20398,2.58164437072443,1.3428606449453098,0,0
1.6785498450562386,0.009378750600428587,0.4652653178333891,2.531797006556165,2.972442405390125,3.0900623007627943,0,0
4.6795999999999935,0.008209999999999829,0.4911960570013772,2.20268,2.6434164394234516,1.5472430503652626,0,0
2.5015000000000214,0.006759999999999877,0.47993396287931334,2.361285,3.0575367037766386,1.8256373748609565,0,0
4.022400000000005,0.06107000000000018,0.4825189481265266,2.11754,3.05372609166366,1.3846432519878324,0,0
18.021835056013103,0.009635653877950068,0.48716709719252,2.43432724907226,1.822320779529257,2.6828711852606193,0,0
6.495499999999993,0.005300000000000082,0.49568334967396543,2.22351,2.4949848960054317,1.9228435031681277,0,0
1.695166478100404,0.007972147775560101,0.45109526410433054,2.72902338847841,2.192501219092718,4.06056033751561,0,0
8.689800000000005,0.0038400000000000656,0.47656092375025216,2.35239,2.6268621116618087,2.0048945663983795,0,0
5.076000000000008,0.006240000000000023,0.49301650576211126,2.17002,3.9172449146764894,1.2241965484335322,0,0
4.840299999999999,0.006680000000000019,0.4965904723489591,2.14141,2.167965104031978,2.0020400746084426,0,0
3.487099999999998,0.007240000000000135,0.46306938189933444,2.17276,2.3174751373385907,3.2783744636659287,0,0
7.040499999999994,0.007454999999999989,0.49181474424143934,2.105625,4.868083773212319,1.2572701772534667,0,0
2.9200000000000017,0.010970000000000146,0.4810549528026255,2.16316,2.365682905407134,3.0913016201055465,0,0
10.954999999999998,0.004110000000000058,0.42826304984877694,2.09394,4.652535884298671,1.4613217643572938,0,0
13.122039569725402,0.008501282696130152,0.4980608715894349,2.33000425826063,2.046165525805524,2.2442172770152915,0,0
11.553050000000013,0.008095000000000185,0.4795356691552198,2.162885,3.050046794977339,1.5737286849852627,0,0
13.184890898535798,0.008269669817940084,0.4683497039075578,2.26763015354725,2.4014432889964548,2.0133596718559743,0,0
6.510748346500492,0.008801576353259843,0.4609211818695663,2.62406732772612,2.351140705211159,3.460228073361935,0,0
13.012799999999999,0.008289999999999909,0.4597706947058025,2.0286,2.1835676879745547,2.2871384133049206,0,0
14.121013235988002,0.007929506762740068,0.461369645078447,2.06302299164429,1.3708176572547532,3.158435503819769,0,0
2.168149999999997,0.008015000000000105,0.4954536592112504,2.10667,3.444327358782161,1.7077944311516373,0,0
2.995599999999996,0.007819999999999938,0.47166836078055496,2.22922,2.348792252835171,2.7549713530796014,0,0
5.15911849876629,0.00865433990002007,0.4649716232984197,2.14783714237132,2.5902213293667486,2.2596994831861674,0,0
3.122124778770896,0.009764489372829921,0.4767087383927954,2.60709678056312,2.123782154055227,4.610089521347932,0,0
